generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
3,0.0,-1.15,0,0,0,0,0,0.36666666666666664,0.075,"[0.08985242, 0.07278614, 0.06742148, 0.03775104, 0.00017867518, 0.05585813, 0.080086365, 0.098895326, 0.050430685, 0.01739594]",0
4,0.0,-1.15,0,0,0,0,0,0.2,0.0,"[3.1539817e-05, 0.0, 0.04501646, 0.01117462, 4.7932816e-05, 0.076456524, 0.17314418, 0.21601456, 0.0035569016, 0.0001302128]",0
5,0.0,-1.15,0,0,0,0,0,0.16666666666666666,0.0,"[0.0, 0.0, 0.0034186298, 0.0005722194, 0.0, 0.091217235, 0.09211946, 0.10893158, 0.027204873, 0.012595029]",0
6,0.0,-1.15,0,0,0,0,0,0.18333333333333332,0.0,"[0.0066693816, 0.04242333, 0.0020655952, 0.0053335615, 2.088292e-05, 0.004965484, 0.011028939, 0.18897423, 0.026043369, 0.0069737886]",0
7,0.0,-1.15,0,0,0,0,0,0.06666666666666667,0.0,"[0.03868544, 0.035704006, 1.5382146e-05, 0.0010704533, 0.00021294932, 0.0, 0.0, 0.040985275, 0.046537302, 0.007879866]",0
8,0.0,-1.15,0,0,0,0,0,0.03333333333333333,0.0,"[0.062503085, 0.036651056, 0.0002673975, 0.004021099, 2.7989485e-05, 0.0, 0.0, 0.040515296, 0.023653766, 0.009748718]",0
9,0.0,-1.15,0,0,0,0,0,0.075,0.0,"[0.051163204, 0.043643363, 0.00026449605, 0.0074203596, 0.0024971096, 0.0, 0.0, 0.0033300985, 0.010003724, 0.014804348]",0
10,0.016708333333333332,-0.14749999999999996,0,0,0,0,0,0.09166666666666666,0.0,"[0.08454633, 0.06399963, 0.00080058264, 0.0020155534, 0.00028576324, 0.0, 0.0, 0.014817724, 0.00786064, 0.008111123]",0
11,0.0,-1.15,0,0,0,0,0,0.2,0.0,"[0.02393651, 0.016860457, 0.022439837, 0.058260713, 0.0131031545, 0.0, 0.0, 0.072036795, 0.024881596, 0.0056240773]",0
12,0.0,-1.15,0,0,0,0,0,0.18333333333333332,0.0,"[0.04020777, 0.041504342, 0.0060748, 0.035991613, 0.011795966, 0.0, 0.0, 0.12895375, 0.03770335, 0.011175111]",0
13,0.0,-1.15,0,0,0,0,0,0.19166666666666668,0.0,"[0.10368904, 0.08045842, 0.0053195264, 0.03340038, 0.00053045736, 0.0, 0.0, 0.043340072, 0.058037132, 0.010650646]",0
14,0.0,-1.15,0,0,0,0,0,0.18333333333333332,0.0,"[0.09550208, 0.17350951, 0.040395252, 0.12326579, 0.0016924324, 0.00014560406, 0.0, 0.08566412, 0.06642069, 0.076092586]",0
15,0.034749999999999996,-0.09250000000000003,0,0,0,0,0,0.20833333333333334,0.025,"[0.049900033, 0.032077078, 0.019320207, 0.14632396, 0.043554705, 0.0, 0.0, 0.069310166, 0.018431233, 0.01710073]",0
16,0.016958333333333336,-0.13249999999999984,0,0,0,0,0,0.14166666666666666,0.041666666666666664,"[0.120218836, 0.073216856, 0.0036212883, 0.12118842, 0.07754442, 0.0, 0.0, 0.075076, 0.0516965, 0.0735193]",0
17,0.016874999999999998,-0.13749999999999996,0,0,0,0,0,0.15,0.058333333333333334,"[0.12676194, 0.12958202, 0.020014275, 0.13650455, 0.060538657, 0.0, 0.0, 0.11820668, 0.034450747, 0.04995041]",0
18,0.05120833333333333,-0.11749999999999994,0,0,0,0,0,0.15833333333333333,0.025,"[0.15430175, 0.08964502, 1.0349544e-05, 0.011543341, 0.0043766764, 0.0, 0.0, 0.06927749, 0.046895478, 0.032163408]",0
19,0.051708333333333335,-0.09250000000000003,0,0,0,0,0,0.2833333333333333,0.041666666666666664,"[0.18039007, 0.06397377, 7.730765e-06, 0.038132638, 0.026246777, 0.0, 0.0, 0.055472594, 0.054283854, 0.022829076]",0
20,0.12095833333333332,0.9449999999999998,0,0,0,0,0,0.21666666666666667,0.06666666666666667,"[0.058728743, 0.031473506, 9.190641e-07, 0.0015790031, 0.006007159, 0.0, 0.0, 0.0017489142, 0.031268682, 0.13239272]",0
21,0.034749999999999996,-0.09250000000000003,0,0,0,0,0,0.16666666666666666,0.05,"[0.20079546, 0.0951726, 0.00010683203, 0.00645816, 2.1511652e-05, 0.0, 0.0, 0.011340397, 0.06583101, 0.12098385]",0
22,0.0,-1.15,0,0,0,0,0,0.26666666666666666,0.016666666666666666,"[0.1688757, 0.16188467, 0.0016081543, 0.020519068, 0.0002676113, 0.0, 0.0, 0.029917045, 0.027938377, 0.024538748]",0
23,0.0,-1.15,0,0,0,0,0,0.25833333333333336,0.016666666666666666,"[0.16527206, 0.13330168, 0.001768058, 0.069454364, 0.0011419356, 0.0, 0.0, 0.05023155, 0.004119331, 6.911056e-06]",0
24,0.0,-1.15,0,0,0,0,0,0.25833333333333336,0.016666666666666666,"[0.11456632, 0.0904388, 0.005939394, 0.011260428, 0.0013357908, 0.0025753567, 0.0, 0.03537704, 0.0010998583, 2.2519222e-05]",0
25,0.0,-1.15,0,0,0,0,0,0.275,0.041666666666666664,"[0.102745734, 0.06766648, 8.938664e-05, 0.011089742, 0.00031375434, 0.00038062013, 0.0, 0.0130404495, 0.00024528394, 0.0]",0
26,0.0,-1.15,0,0,0,0,0,0.25833333333333336,0.008333333333333333,"[0.19223604, 0.09069891, 0.00089833123, 0.008025859, 5.4247546e-05, 0.0063432064, 0.0892573, 0.016793763, 0.00015751964, 0.0]",0
27,0.0,-1.15,0,0,0,0,0,0.23333333333333334,0.03333333333333333,"[0.14773707, 0.03385447, 0.0, 0.0148252295, 0.0017270715, 0.000113191054, 0.004773106, 0.038125947, 0.00037633828, 0.0]",0
28,0.0,-1.15,0,0,0,0,0,0.2,0.016666666666666666,"[0.109964654, 0.006794823, 9.530787e-09, 0.0, 0.0015117645, 7.921003e-06, 0.0, 0.032200336, 0.0021381124, 0.0]",0
29,0.0,-1.15,0,0,0,0,0,0.21666666666666667,0.025,"[0.125956, 0.057174087, 0.0, 0.0099944025, 0.0003450748, 0.0014693853, 0.0, 0.019116446, 0.015536404, 0.00011923533]",0
30,0.0,-1.15,0,0,0,0,0,0.2,0.016666666666666666,"[0.12651975, 0.064157814, 2.8147535e-06, 0.0001182939, 1.11241925e-05, 0.0, 0.0040055024, 0.02652614, 0.004608964, 9.513234e-07]",0
31,0.0,-1.15,0,0,0,0,0,0.175,0.008333333333333333,"[0.08514303, 0.036736965, 0.00015453422, 0.010337023, 0.0014378227, 0.0, 0.0, 0.061778687, 0.032044705, 0.00013651104]",0
32,0.016874999999999998,-0.13749999999999996,0,0,0,0,0,0.2,0.05,"[0.029613413, 0.068332575, 0.0032020342, 0.03384789, 0.0022551513, 3.6596164e-06, 0.0, 0.037784927, 0.0378272, 0.00066854863]",0
33,0.0,-1.15,0,0,0,0,0,0.18333333333333332,0.025,"[0.031247586, 0.022713535, 0.003833629, 0.12302524, 0.024855822, 3.2789137e-06, 4.057308e-05, 0.06459012, 0.089736395, 0.005066806]",0
34,0.0,-1.15,0,0,0,0,0,0.225,0.0,"[0.070911564, 0.03677762, 0.00016478173, 0.036774736, 0.025940362, 8.198121e-05, 0.00024928397, 0.034482796, 0.05615549, 0.009738408]",0
35,0.034749999999999996,-0.10749999999999993,0,0,0,0,0,0.225,0.03333333333333333,"[0.10109437, 0.11671722, 0.00096284726, 0.07168376, 0.013654216, 0.001591681, 0.0023348262, 0.017575284, 0.03858203, 0.00974237]",0
36,0.0,-1.15,0,0,0,0,0,0.24166666666666667,0.016666666666666666,"[0.16923608, 0.118214175, 0.0046406337, 0.06879196, 0.018837571, 0.0, 0.00619294, 0.06619115, 0.047345504, 0.0046607945]",0
37,0.0,-1.15,0,0,0,0,0,0.21666666666666667,0.016666666666666666,"[0.20975946, 0.15174337, 0.029952401, 0.050161045, 0.0020091024, 0.0, 0.002073056, 0.01479595, 0.021239523, 0.005878531]",0
38,0.0,-1.15,0,0,0,0,0,0.2,0.008333333333333333,"[0.105238624, 0.15147606, 0.008711481, 0.09294789, 0.016655924, 6.9957428e-06, 0.0, 0.011371668, 0.030023482, 0.004857491]",0
39,0.0,-1.15,0,0,0,0,0,0.2,0.0,"[0.00065599236, 0.01887949, 0.029817522, 0.103441305, 0.02287466, 9.930138e-07, 0.0011186034, 0.01661871, 0.033369288, 0.0034544806]",0
40,0.017,-0.1299999999999999,0,0,0,0,0,0.20833333333333334,0.025,"[1.0719509e-05, 0.0012396013, 0.027489498, 0.051596887, 0.0048804544, 3.469461e-06, 0.0004741054, 0.0073732347, 0.011459574, 0.00028166038]",0
41,0.0,-1.15,0,0,0,0,0,0.2,0.008333333333333333,"[0.00093528617, 0.0006757065, 0.02996565, 0.06310287, 0.005451828, 0.00013628016, 0.0063658347, 0.029398985, 0.012521476, 0.005024476]",0
42,0.016874999999999998,-0.13749999999999996,0,0,0,0,0,0.2,0.025,"[0.002094547, 0.01129639, 0.018899292, 0.12249031, 0.010801096, 0.0003488296, 0.0038168554, 0.032029238, 0.049464017, 0.00062526617]",0
43,0.0,-1.15,0,0,0,0,0,0.225,0.016666666666666666,"[0.0024676796, 0.020252423, 0.03399634, 0.07237785, 0.02007256, 0.0013066342, 0.0043916027, 0.0038943472, 0.025622785, 0.0010004024]",0
44,0.0,-1.15,0,0,0,0,0,0.21666666666666667,0.008333333333333333,"[0.0028044435, 0.006404893, 0.008205044, 0.04539227, 0.0025191007, 0.0024409674, 0.006874508, 0.00641792, 0.024811594, 0.0027912704]",0
45,0.0,-1.15,0,0,0,0,0,0.18333333333333332,0.016666666666666666,"[0.0033092748, 0.00047094782, 0.027352586, 0.012821489, 0.0009357822, 0.0009776602, 0.0078063556, 0.023634527, 0.048232727, 0.0028210839]",0
46,0.0,-1.15,0,0,0,0,0,0.20833333333333334,0.0,"[0.0011748492, 0.0, 0.0051967306, 0.005905522, 0.00076069013, 0.00013178213, 0.0026650024, 0.010978264, 0.014818183, 0.0036679064]",0
47,0.0,-1.15,0,0,0,0,0,0.23333333333333334,0.03333333333333333,"[0.00015342393, 0.0011200653, 0.0025746753, 0.015584863, 0.0036785977, 0.007066458, 0.022353472, 0.017371802, 0.049456872, 0.00799104]",0
48,0.017083333333333332,-0.125,0,0,0,0,0,0.2,0.041666666666666664,"[0.0013920169, 0.00069004664, 0.034685947, 0.015035339, 0.0009716871, 0.0074332966, 0.00033121937, 0.013390829, 0.042475563, 0.007436005]",0
49,0.0,-1.15,0,0,0,0,0,0.175,0.016666666666666666,"[0.0014179783, 0.0, 0.0050797723, 0.012542666, 0.00523665, 0.0023386257, 0.034996185, 0.043468673, 0.0846163, 0.018483574]",0
50,0.0,-1.15,0,0,0,0,0,0.25,0.008333333333333333,"[0.0015610157, 0.00022594308, 1.6655613e-06, 0.001983588, 0.008935455, 0.0013519776, 0.020545345, 0.016984344, 0.068577096, 0.011035168]",0
51,0.017,-0.1299999999999999,0,0,0,0,0,0.21666666666666667,0.025,"[0.0, 5.019078e-05, 1.1970553e-06, 0.009952723, 0.0043411986, 0.012562478, 0.047779646, 0.031726886, 0.036911637, 0.0093963025]",0
52,0.0,-1.15,0,0,0,0,0,0.20833333333333334,0.016666666666666666,"[0.006298085, 0.0015660273, 0.007578051, 0.005072579, 0.0012409047, 0.08409149, 0.044027492, 0.059403002, 0.1002937, 0.015663581]",0
53,0.0,-1.15,0,0,0,0,0,0.20833333333333334,0.008333333333333333,"[0.030406337, 4.4614982e-05, 2.2859998e-05, 0.032460384, 0.0032909517, 0.018234788, 0.08642408, 0.01540538, 0.082967825, 0.01843732]",0
54,0.0,-1.15,0,0,0,0,0,0.18333333333333332,0.016666666666666666,"[0.0061630774, 0.0035310495, 0.013309924, 0.030449873, 0.008012506, 0.029820343, 0.079879425, 0.034010317, 0.08359226, 0.041456435]",0
55,0.0,-1.15,0,0,0,0,0,0.21666666666666667,0.03333333333333333,"[0.016796047, 0.0007362498, 0.0007717734, 0.0015913115, 0.0011224665, 0.056371164, 0.06999411, 0.044486422, 0.08181931, 0.006112332]",0
56,0.0,-1.15,0,0,0,0,0,0.19166666666666668,0.025,"[0.033939667, 0.016086666, 0.01893073, 0.0392224, 0.001088103, 0.102075994, 0.12658656, 0.07352536, 0.09343726, 0.010203919]",0
57,0.0,-1.15,0,0,0,0,0,0.19166666666666668,0.025,"[0.03134176, 0.025042426, 0.0013071845, 0.014858485, 0.004831618, 0.08294613, 0.09536849, 0.018906422, 0.07771038, 0.007677619]",0
58,0.0,-1.15,0,0,0,0,0,0.2,0.05,"[0.06779392, 0.04122081, 0.013854684, 0.01661928, 8.171933e-05, 0.1083761, 0.13497648, 0.03125809, 0.11360811, 0.013962216]",0
59,0.0,-1.15,0,0,0,0,0,0.19166666666666668,0.03333333333333333,"[0.05461322, 0.01522384, 0.001809586, 0.006808451, 0.009314169, 0.123439506, 0.15405788, 0.066702165, 0.14537083, 0.0081478795]",0
60,0.0,-1.15,0,0,0,0,0,0.225,0.025,"[0.046009265, 0.04198383, 0.023494264, 0.071422435, 0.006391972, 0.1601373, 0.10610717, 0.05206193, 0.07101785, 0.01036791]",0
61,0.017458333333333333,-0.10250000000000004,0,0,0,0,0,0.21666666666666667,0.016666666666666666,"[0.029991588, 0.00261979, 0.021854233, 0.034035098, 0.0048063183, 0.051400654, 0.1599109, 0.027940076, 0.023623237, 0.0020579721]",0
62,0.0,-1.15,0,0,0,0,0,0.225,0.041666666666666664,"[0.010404127, 0.017730199, 0.039110847, 0.07876977, 0.00700142, 0.017055161, 0.11989353, 0.029442903, 0.052690428, 0.00033486937]",0
63,0.016916666666666667,-0.135,0,0,0,0,0,0.24166666666666667,0.025,"[0.0065571307, 0.033919387, 0.016335756, 0.07076502, 0.0054205093, 0.047871627, 0.079177365, 0.06359968, 0.08173177, 0.0031164226]",0
64,0.017,-0.1299999999999999,0,0,0,0,0,0.26666666666666666,0.125,"[0.008780182, 0.011431151, 6.779805e-05, 0.04591173, 0.018638821, 0.016713845, 0.1315867, 0.13102704, 0.03957146, 0.004896221]",0
65,0.016833333333333332,-0.1399999999999999,0,0,0,0,0,0.24166666666666667,0.08333333333333333,"[0.073560886, 0.007780072, 0.00380834, 0.015633607, 0.00023882354, 0.024864148, 0.18542355, 0.15332504, 0.04275122, 1.0323963e-05]",0
66,0.0,-1.15,0,0,0,0,0,0.23333333333333334,0.03333333333333333,"[0.025917996, 0.034896936, 0.0, 0.01211315, 0.00085544353, 0.04267368, 0.15002486, 0.20532575, 0.0063668303, 1.5376352e-05]",0
67,0.0,-1.15,0,0,0,0,0,0.21666666666666667,0.0,"[0.08035913, 0.022847187, 1.426103e-05, 0.008184721, 0.00072699663, 0.07089037, 0.17409097, 0.16852546, 0.0032015305, 0.0]",0
