generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,right_up,right_down,kl_diversity,cosine_actions
0,-1.15,1.3124211,0,0,0.7560599,2.068481,0.00049999985,0.5,0.5,11.431436,0.7560599
5,-1.1500000000000001,1.2976096,0,0,0.11865166,1.4162612,0.00049999903,0.5,0.16666666666666666,8.292275,0.11865166
10,-1.058863636363636,1.3495461,0,0,0.7578703,2.1074164,0.00049999816,0.5,0.3181818181818182,8.881936,0.7578703
15,-1.0229687499999993,1.3960207,0,0,0.9792645,2.3752851,0.00049999735,0.625,0.3125,9.725777,0.9792645
20,-1.005357142857142,1.3844666,0,0,0.8215788,2.2060454,0.00049999653,0.6666666666666666,0.30952380952380953,9.025692,0.8215788
25,-0.9869999999999992,1.3622684,0,0,0.7686912,2.1309595,0.00049999566,0.66,0.28,7.870635,0.7686912
30,-0.9869999999999992,1.4721774,0,0,0.72798944,2.2001667,0.00049999484,0.64,0.3,10.29339,0.72798944
35,-0.9459999999999993,1.2778251,0,0,0.07009441,1.3479195,0.000499994,0.7,0.24,6.987554,0.07009441
40,-0.9469999999999992,1.3143134,0,0,0.9467273,2.2610407,0.00049999316,0.6,0.26,8.279977,0.9467273
45,-0.9871999999999993,1.3310335,0,0,0.9474771,2.2785106,0.00049999234,0.56,0.24,10.1866255,0.9474771
50,-0.9884999999999993,1.2582145,0,0,0.44616312,1.7043777,0.0004999915,0.54,0.26,7.953588,0.44616312
55,-0.9477999999999993,1.3949012,0,0,0.9696659,2.364567,0.00049999065,0.62,0.26,8.878509,0.9696659
60,-0.9475999999999993,1.3311164,0,0,0.91717875,2.2482953,0.00049998984,0.54,0.3,7.274361,0.91717875
65,-0.9463999999999992,1.2641044,0,0,0.5787293,1.8428336,0.000499989,0.58,0.28,6.4338984,0.5787293
70,-0.9044999999999992,1.3398503,0,0,0.70486426,2.0447145,0.00049998815,0.6,0.26,7.768349,0.70486426
75,-0.9038999999999993,1.2739556,0,0,0.7131909,1.9871465,0.00049998733,0.62,0.2,6.942636,0.7131909
80,-0.9445999999999992,1.3811309,0,0,0.10784884,1.4889798,0.0004999865,0.56,0.26,5.1382775,0.10784884
85,-1.0258999999999991,1.415245,0,0,0.9954957,2.4107409,0.00049998565,0.68,0.26,10.067441,0.9954957
90,-0.9455999999999993,1.4461019,0,0,0.5196746,1.9657764,0.00049998483,0.72,0.3,6.8374505,0.5196746
95,-0.9874999999999993,1.3056444,0,0,0.0635639,1.3692083,0.000499984,0.76,0.34,6.173407,0.0635639
100,-1.028299999999999,1.3314404,0,0,0.13956952,1.47101,0.00049998314,0.8,0.42,7.451679,0.13956952
105,-1.0282999999999993,1.3799479,0,0,0.060159013,1.4401069,0.0004999823,0.86,0.34,6.0010176,0.060159013
110,-1.0282999999999993,1.3272908,0,0,0.9966269,2.3239176,0.0004999815,0.78,0.3,9.616237,0.9966269
115,-1.149999999999999,1.3193071,0,0,0.99156415,2.3108711,0.00049998064,0.76,0.3,9.921354,0.99156415
120,-1.149999999999999,1.3627036,0,0,0.26983127,1.6325349,0.0004999798,0.68,0.3,5.5283866,0.26983127
125,-1.149999999999999,1.3394878,0,0,0.8310491,2.170537,0.000499979,0.62,0.24,6.978561,0.8310491
130,-1.108099999999999,1.3357583,0,0,0.058636934,1.3943952,0.00049997814,0.64,0.28,5.190612,0.058636934
135,-1.108099999999999,1.4206326,0,0,0.8250512,2.2456837,0.0004999773,0.68,0.32,7.0850787,0.8250512
140,-1.108099999999999,1.4636996,0,0,0.99000216,2.4537017,0.0004999765,0.68,0.26,6.566966,0.99000216
145,-1.067199999999999,1.4136099,0,0,0.16677848,1.5803883,0.00049997563,0.72,0.3,6.52743,0.16677848
150,-1.067199999999999,1.4579859,0,0,0.6854596,2.1434455,0.0004999748,0.82,0.4,6.842126,0.6854596
155,-1.0254999999999992,1.3139691,0,0,0.97870183,2.292671,0.000499974,0.8,0.46,8.275287,0.97870183
160,-0.9435999999999993,1.3159776,0,0,0.7992108,2.1151884,0.00049997313,0.8,0.44,6.35206,0.7992108
165,-0.9022999999999993,1.4332299,0,0,0.9760514,2.4092813,0.0004999723,0.74,0.44,6.559286,0.9760514
170,-0.9431999999999993,1.3296084,0,0,0.21079414,1.5404025,0.0004999715,0.72,0.42,4.997157,0.21079414
175,-0.9431999999999994,1.4098425,0,0,0.17469276,1.5845352,0.0004999706,0.66,0.34,5.8246055,0.17469276
180,-1.0267999999999993,1.3765941,0,0,0.9634669,2.340061,0.0004999698,0.66,0.3,6.5223126,0.9634669
185,-1.0674999999999992,1.3125584,0,0,0.89845884,2.2110171,0.00049996894,0.6,0.28,6.6541095,0.89845884
