generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.28500000000000003,0.26384875,0.00873394,-0.13778666,0.0,4.961835,2.4999968e-05,0.25,0.0,-724.1601,157.41038036346436
5,-0.3558333333333333,0.38302207,0.020670384,-0.1378229,0.0,4.025993,2.4999812e-05,0.125,0.041666666666666664,-718.85345,158.4380645751953
10,-0.30999999999999994,0.18154514,0.024374641,-0.13824354,0.0,3.6439939,2.4999656e-05,0.11363636363636363,0.06818181818181818,-719.8861,157.51114177703857
15,-0.27779999999999994,0.16466145,0.0042290855,-0.13776596,0.0,3.9455848,2.49995e-05,0.08,0.1,-714.6848,158.3415651321411
20,-0.2658,0.25579664,0.0014838981,-0.13578862,0.0,4.0516367,2.4999343e-05,0.06,0.1,-719.2252,157.44933986663818
25,-0.338,0.026591867,0.04264047,-0.13645826,0.0,3.9306474,2.4999186e-05,0.04,0.16,-711.52905,156.21789360046387
30,-0.3520000000000001,0.09315694,0.034470364,-0.13769019,0.0,3.8583002,2.499903e-05,0.04,0.12,-712.37775,157.48835945129395
35,-0.26380000000000015,0.12678786,0.00039187772,-0.13602309,0.0,4.424102,2.4998873e-05,0.06,0.16,-716.0148,155.5210132598877
40,-0.38380000000000003,0.17945419,0.003297391,-0.13838483,0.0,3.682901,2.4998717e-05,0.06,0.1,-717.99286,159.17444801330566
45,-0.3978,0.17488778,0.00075153855,-0.13839872,0.0,3.7300255,2.499856e-05,0.06,0.1,-717.9558,156.11164951324463
50,-0.3158000000000001,0.04120432,0.038874842,-0.13727042,0.0,3.146505,2.4998404e-05,0.02,0.14,-720.098,155.02621269226074
55,-0.30580000000000007,-0.7549837,0.43643078,-0.1368467,0.0,1.5797437,2.4998248e-05,0.02,0.16,-723.9157,157.48974418640137
60,-0.23379999999999995,0.26468748,0.01211175,-0.13783081,0.0,3.3268661,2.4998091e-05,0.02,0.18,-711.00836,154.79462146759033
65,-0.29980000000000007,0.31151363,0.013339525,-0.13808721,0.0,4.3588867,2.4997935e-05,0.08,0.16,-717.16205,157.55700016021729
70,-0.2638,0.13886361,0.0029600323,-0.13344933,0.0,3.2287214,2.4997778e-05,0.1,0.14,-714.46313,157.20392322540283
