generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.11,0.2342163,0.14628246,-0.13652955,0.0,1.4001806,2.4999968e-05,0.0,1.0,0.0,0.0
5,-0.39333333333333337,0.1943891,0.02264212,-0.13765307,0.0,1.0428104,2.4999812e-05,0.0,0.3333333333333333,0.0,0.0
10,-0.4372727272727273,0.25814104,0.12064537,-0.13836867,0.0,1.5385667,2.4999656e-05,0.0,0.18181818181818182,0.0,0.0
15,-0.4225000000000001,0.17966467,0.002119364,-0.13574764,0.0,1.1269726,2.49995e-05,0.0625,0.125,0.0,0.0
20,-0.3814285714285715,0.16849384,0.012419605,-0.13613066,0.0,1.0520227,2.4999343e-05,0.047619047619047616,0.14285714285714285,0.0,0.0
25,-0.3523076923076924,0.37584758,0.0054510026,-0.13700597,0.0,1.1960131,2.4999186e-05,0.07692307692307693,0.15384615384615385,0.0,0.0
30,-0.3616129032258065,0.14189936,0.062444188,-0.13829632,0.0,1.5954614,2.499903e-05,0.06451612903225806,0.12903225806451613,0.0,0.0
35,-0.29861111111111116,0.1832604,0.032982595,-0.13794355,0.0,0.905226,2.4998873e-05,0.08333333333333333,0.19444444444444445,0.0,0.0
40,-0.3146341463414634,0.14931603,0.024642365,-0.13682474,0.0,0.7809591,2.4998717e-05,0.07317073170731707,0.17073170731707318,0.0,0.0
45,-0.3010869565217391,0.14865866,0.0027045705,-0.13676707,0.0,0.76784444,2.499856e-05,0.06521739130434782,0.15217391304347827,0.0,0.0
50,-0.2978,0.11576745,0.0035366241,-0.13774239,0.0,0.8435414,2.4998404e-05,0.08,0.16,0.0,0.0
55,-0.2618,0.2404809,0.003261608,-0.13737725,0.0,0.89809287,2.4998248e-05,0.12,0.18,0.0,0.0
60,-0.2418,0.07308571,0.09546864,-0.1379328,0.0,1.0841675,2.4998091e-05,0.12,0.18,0.0,0.0
65,-0.2238,0.14903256,0.0058317482,-0.1384085,0.0,0.79904807,2.4997935e-05,0.12,0.18,0.0,0.0
70,-0.23379999999999998,0.14991593,0.010566701,-0.13775775,0.0,1.1031609,2.4997778e-05,0.14,0.16,0.0,0.0
75,-0.2598,0.12986717,0.01707064,-0.13568659,0.0,0.97562593,2.4997622e-05,0.12,0.14,0.0,0.0
80,-0.25980000000000003,0.16667983,0.06404014,-0.13612886,0.0,1.3490341,2.4997466e-05,0.12,0.16,0.0,0.0
85,-0.282,0.16314554,0.006092551,-0.13786422,0.0,0.764067,2.4997309e-05,0.1,0.1,0.0,0.0
90,-0.272,0.19474782,0.017350622,-0.13835725,0.0,0.8996407,2.4997153e-05,0.12,0.1,0.0,0.0
95,-0.25379999999999997,-0.6678241,0.43787616,-0.13408981,0.0,-1.1645042,2.4996994e-05,0.14,0.16,0.0,0.0
100,-0.24579999999999994,-0.013035104,0.050374594,-0.1372631,0.0,1.1131761,2.4996838e-05,0.14,0.16,0.0,0.0
105,-0.25359999999999994,0.11276632,0.0043737954,-0.13377848,0.0,0.7680611,2.4996682e-05,0.14,0.14,0.0,0.0
110,-0.25160000000000005,0.12496036,0.0010105032,-0.13838226,0.0,0.7164068,2.4996525e-05,0.16,0.14,0.0,0.0
115,-0.25359999999999994,0.22135413,0.004893249,-0.13193975,0.0,0.811618,2.4996369e-05,0.14,0.14,0.0,0.0
120,-0.23159999999999997,0.14449432,0.016474653,-0.13554345,0.0,0.7922534,2.4996212e-05,0.12,0.14,0.0,0.0
125,-0.21340000000000003,-0.05013308,0.024890235,-0.13745402,0.0,0.81891745,2.4996056e-05,0.12,0.16,0.0,0.0
130,-0.21539999999999995,0.18693721,0.013786797,-0.13747476,0.0,0.84664905,2.49959e-05,0.14,0.16,0.0,0.0
135,-0.2293999999999999,0.20956542,0.025830258,-0.13660654,0.0,0.856773,2.4995743e-05,0.14,0.16,0.0,0.0
140,-0.20739999999999995,0.116545975,0.014667444,-0.13664043,0.0,0.78161013,2.4995587e-05,0.12,0.16,0.0,0.0
145,-0.2576,0.23147695,0.0027930648,-0.1351295,0.0,0.9579053,2.499543e-05,0.12,0.14,0.0,0.0
150,-0.23920000000000002,0.22025481,0.008027183,-0.13193469,0.0,1.143527,2.4995274e-05,0.1,0.16,0.0,0.0
