generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.11,0.06210804,0.079536565,-0.13820592,0.0,1.1333125,2.4999968e-05,0.0,0.0,0.0,0.0
5,-0.36000000000000004,0.12543692,0.02842999,-0.1355546,0.0,0.91073835,2.4999812e-05,0.16666666666666666,0.16666666666666666,0.0,0.0
10,-0.3645454545454545,0.16916524,0.0009724488,-0.13783701,0.0,0.75279164,2.4999656e-05,0.09090909090909091,0.09090909090909091,0.0,0.0
15,-0.485,0.1827274,0.06047421,-0.13711458,0.0,1.029309,2.49995e-05,0.0625,0.0625,0.0,0.0
20,-0.4957142857142857,0.07625997,0.09556419,-0.13841915,0.0,1.4377453,2.4999343e-05,0.047619047619047616,0.047619047619047616,0.0,0.0
25,-0.4369230769230769,0.14512748,0.0049630124,-0.13858284,0.0,0.7961694,2.4999186e-05,0.07692307692307693,0.15384615384615385,0.0,0.0
30,-0.40032258064516124,0.26146096,0.07974248,-0.13840158,0.0,1.3432564,2.499903e-05,0.06451612903225806,0.12903225806451613,0.0,0.0
35,-0.37944444444444436,0.14244173,0.0023334846,-0.13755806,0.0,0.9260474,2.4998873e-05,0.05555555555555555,0.1388888888888889,0.0,0.0
40,-0.40268292682926826,0.17588344,0.0005113201,-0.13794778,0.0,0.7915025,2.4998717e-05,0.04878048780487805,0.12195121951219512,0.0,0.0
45,-0.3882608695652173,-0.01046969,0.027593184,-0.13733436,0.0,0.7414854,2.499856e-05,0.043478260869565216,0.10869565217391304,0.0,0.0
50,-0.4139999999999999,0.25007898,0.000718558,-0.13702212,0.0,1.1680151,2.4998404e-05,0.04,0.1,0.0,0.0
55,-0.39000000000000007,0.13408513,0.008115333,-0.1371655,0.0,0.7858696,2.4998248e-05,0.02,0.08,0.0,0.0
60,-0.376,0.12890668,0.0032230318,-0.13776891,0.0,0.9083663,2.4998091e-05,0.04,0.1,0.0,0.0
65,-0.33779999999999993,0.260346,0.07248579,-0.13800669,0.0,1.2545967,2.4997935e-05,0.06,0.14,0.0,0.0
70,-0.3278000000000001,-0.036066532,0.002587833,-0.1381332,0.0,0.61775297,2.4997778e-05,0.06,0.14,0.0,0.0
75,-0.3358000000000001,0.23106028,0.016537389,-0.1380972,0.0,0.9259559,2.4997622e-05,0.04,0.08,0.0,0.0
80,-0.34980000000000006,0.1624023,0.0008384942,-0.1371092,0.0,0.8186723,2.4997466e-05,0.04,0.1,0.0,0.0
85,-0.40180000000000005,0.23585352,0.001058492,-0.13718063,0.0,1.1282339,2.4997309e-05,0.04,0.08,0.0,0.0
90,-0.3898000000000001,0.15121844,0.025339074,-0.13861616,0.0,0.78279555,2.4997153e-05,0.04,0.1,0.0,0.0
95,-0.38180000000000014,0.14760223,0.00129842,-0.13667329,0.0,0.74595445,2.4996994e-05,0.06,0.12,0.0,0.0
100,-0.33759999999999996,0.20837718,0.00822509,-0.13667743,0.0,0.8727291,2.4996838e-05,0.06,0.18,0.0,0.0
105,-0.3595999999999999,0.20049858,0.0210155,-0.13829918,0.0,0.8436537,2.4996682e-05,0.06,0.18,0.0,0.0
110,-0.3736,0.15144396,0.005137768,-0.13854933,0.0,0.75501525,2.4996525e-05,0.06,0.16,0.0,0.0
115,-0.3436,-0.62120014,0.644815,-0.13809942,0.0,-0.3711085,2.4996369e-05,0.04,0.14,0.0,0.0
120,-0.3676,0.42447978,0.0035091112,-0.13563375,0.0,1.193747,2.4996212e-05,0.04,0.14,0.0,0.0
125,-0.3436000000000001,0.19286515,0.012063041,-0.13575156,0.0,0.93068326,2.4996056e-05,0.06,0.16,0.0,0.0
130,-0.29739999999999994,0.1764728,0.01918291,-0.13753954,0.0,0.8868135,2.49959e-05,0.08,0.16,0.0,0.0
135,-0.2413999999999999,0.0694208,0.017192451,-0.13731682,0.0,0.7974493,2.4995743e-05,0.08,0.2,0.0,0.0
140,-0.1993999999999999,0.16735683,0.0025615846,-0.13700318,0.0,0.7611543,2.4995587e-05,0.08,0.2,0.0,0.0
145,-0.21739999999999993,0.27542895,0.0042779297,-0.13675754,0.0,0.94185024,2.499543e-05,0.08,0.2,0.0,0.0
150,-0.2195999999999999,0.18253908,0.00193523,-0.13703522,0.0,0.7750301,2.4995274e-05,0.1,0.14,0.0,0.0
155,-0.17939999999999998,0.31408757,0.006666515,-0.1358959,0.0,1.1750537,2.4995117e-05,0.1,0.18,0.0,0.0
160,-0.16939999999999994,0.18083683,0.009697996,-0.1279174,0.0,0.9896276,2.499496e-05,0.1,0.18,0.0,0.0
165,-0.2035999999999999,0.16928858,0.045403592,-0.13757889,0.0,0.9117666,2.4994804e-05,0.14,0.2,0.0,0.0
170,-0.14959999999999998,0.20342562,0.0029528511,-0.13714966,0.0,0.8438116,2.4994648e-05,0.14,0.2,0.0,0.0
175,-0.1374,0.13186698,0.006553472,-0.13092136,0.0,0.75391763,2.4994491e-05,0.12,0.22,0.0,0.0
180,-0.1434,0.13453867,0.0006617347,-0.1341226,0.0,0.7326571,2.4994335e-05,0.1,0.22,0.0,0.0
185,-0.13939999999999997,0.14272419,0.011666406,-0.13561144,0.0,0.7690625,2.4994179e-05,0.12,0.18,0.0,0.0
190,-0.14339999999999997,0.23165135,0.025704917,-0.13446727,0.0,1.0563966,2.4994022e-05,0.12,0.16,0.0,0.0
195,-0.13740000000000005,0.14505105,0.0066597103,-0.1338666,0.0,0.8279381,2.4993866e-05,0.12,0.16,0.0,0.0
200,-0.08499999999999995,0.33614266,0.011917293,-0.13704203,0.0,1.042644,2.4993711e-05,0.14,0.18,0.0,0.0
