generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.61,0.29004312,0.06309862,-0.13467474,0.0,1.5531301,4.9999935e-06,0.0,0.0,0.0,0.0
5,-0.5933333333333334,0.2947322,0.020430895,-0.13792838,0.0,1.1071008,4.999962e-06,0.0,0.0,0.0,0.0
10,-0.4190909090909091,0.06422341,0.1977905,-0.13833101,0.0,1.9792955,4.999931e-06,0.0,0.18181818181818182,0.0,0.0
15,-0.44125000000000003,0.25808793,0.019734299,-0.13836537,0.0,1.088447,4.9999e-06,0.0,0.125,0.0,0.0
20,-0.43380952380952387,0.1134201,0.004021542,-0.13823034,0.0,0.7548259,4.9998685e-06,0.0,0.09523809523809523,0.0,0.0
25,-0.413846153846154,0.18613783,0.0006470828,-0.13789931,0.0,1.006755,4.999837e-06,0.0,0.11538461538461539,0.0,0.0
30,-0.39387096774193564,0.1968507,0.010656984,-0.1367315,0.0,0.97178614,4.9998057e-06,0.0,0.0967741935483871,0.0,0.0
35,-0.4294444444444445,0.09398645,0.022865392,-0.1361248,0.0,0.882207,4.999775e-06,0.0,0.08333333333333333,0.0,0.0
40,-0.42219512195121955,0.10534866,0.05995912,-0.13806532,0.0,1.1219745,4.9997434e-06,0.024390243902439025,0.0975609756097561,0.0,0.0
45,-0.41,0.13202213,0.001384413,-0.1379639,0.0,0.7585587,4.999712e-06,0.021739130434782608,0.10869565217391304,0.0,0.0
50,-0.41,0.37930036,0.021277623,-0.13809636,0.0,1.1964059,4.9996806e-06,0.02,0.1,0.0,0.0
55,-0.4079999999999998,0.23327799,0.0015439274,-0.13852668,0.0,1.2181966,4.9996493e-06,0.02,0.1,0.0,0.0
60,-0.42599999999999993,0.1787588,0.009082294,-0.13829766,0.0,0.7528033,4.999618e-06,0.02,0.1,0.0,0.0
65,-0.42200000000000004,0.2416428,0.005404011,-0.13608755,0.0,1.0892543,4.999587e-06,0.02,0.1,0.0,0.0
70,-0.4320000000000001,0.14456645,0.07556468,-0.13855688,0.0,1.0454401,4.9995556e-06,0.02,0.12,0.0,0.0
75,-0.41800000000000004,0.22300556,0.04157286,-0.13810141,0.0,1.2278031,4.999524e-06,0.04,0.1,0.0,0.0
80,-0.40600000000000014,0.09281093,0.062004074,-0.13805565,0.0,1.1049613,4.999493e-06,0.04,0.1,0.0,0.0
85,-0.39,0.31113392,0.05042166,-0.1380889,0.0,1.6207448,4.9994615e-06,0.04,0.12,0.0,0.0
90,-0.4,0.108208224,0.00021160027,-0.13827574,0.0,0.8387942,4.9994305e-06,0.02,0.1,0.0,0.0
95,-0.4279999999999999,0.20871651,0.03371282,-0.13812974,0.0,0.95351684,4.999399e-06,0.02,0.08,0.0,0.0
100,-0.45599999999999974,0.16879858,0.11380166,-0.1378092,0.0,1.6953726,4.999368e-06,0.02,0.1,0.0,0.0
105,-0.42199999999999993,0.19572277,0.017395634,-0.13848124,0.0,0.8809823,4.9993364e-06,0.02,0.1,0.0,0.0
110,-0.4260000000000001,0.1625975,0.06189424,-0.13845645,0.0,1.123454,4.999305e-06,0.02,0.06,0.0,0.0
115,-0.40600000000000014,0.14394374,0.037508193,-0.13727461,0.0,0.90005666,4.999274e-06,0.02,0.06,0.0,0.0
120,-0.4,0.18147713,0.031148534,-0.13655247,0.0,0.941168,4.9992427e-06,0.02,0.06,0.0,0.0
125,-0.39399999999999996,0.15653482,0.0033119996,-0.13699333,0.0,0.7858732,4.9992113e-06,0.0,0.08,0.0,0.0
130,-0.3980000000000002,0.15536307,0.012336653,-0.13795625,0.0,0.8487035,4.99918e-06,0.0,0.08,0.0,0.0
135,-0.44000000000000017,0.10114807,0.01279961,-0.13711527,0.0,1.0564288,4.9991486e-06,0.02,0.08,0.0,0.0
140,-0.4200000000000001,0.31962976,0.0085921455,-0.13823526,0.0,1.2534127,4.999117e-06,0.02,0.1,0.0,0.0
145,-0.40800000000000003,0.13958324,0.03499026,-0.1284772,0.0,1.2540442,4.9990863e-06,0.02,0.1,0.0,0.0
150,-0.36600000000000016,0.043595918,0.05503966,-0.13850725,0.0,0.81407493,4.999055e-06,0.02,0.08,0.0,0.0
155,-0.3680000000000001,0.25788438,0.021118445,-0.13753098,0.0,1.154357,4.9990235e-06,0.02,0.08,0.0,0.0
160,-0.3660000000000001,0.25851288,0.08970275,-0.13829695,0.0,1.5355806,4.998992e-06,0.04,0.1,0.0,0.0
165,-0.37199999999999994,0.21558282,0.0051619424,-0.13807215,0.0,0.87853193,4.998961e-06,0.04,0.1,0.0,0.0
170,-0.342,0.12665504,0.00019742496,-0.13832001,0.0,0.784857,4.99893e-06,0.06,0.08,0.0,0.0
175,-0.3520000000000001,0.109482646,0.007949565,-0.136278,0.0,0.7056278,4.9988985e-06,0.08,0.08,0.0,0.0
180,-0.37600000000000017,0.07079496,0.017525405,-0.13833182,0.0,0.7364726,4.998867e-06,0.08,0.1,0.0,0.0
185,-0.31600000000000006,0.19991319,0.037742127,-0.13821283,0.0,1.0398837,4.9988357e-06,0.06,0.08,0.0,0.0
190,-0.3240000000000001,0.09131786,0.0032043995,-0.13543884,0.0,0.71206504,4.9988043e-06,0.06,0.06,0.0,0.0
195,-0.30200000000000005,0.0077098757,0.0043970314,-0.13711782,0.0,0.6471051,4.9987734e-06,0.06,0.06,0.0,0.0
200,-0.286,0.15259832,0.03244826,-0.13736479,0.0,1.0495915,4.998742e-06,0.06,0.06,0.0,0.0
205,-0.304,0.09394544,0.0051827426,-0.13585411,0.0,0.98972064,4.998711e-06,0.08,0.06,0.0,0.0
210,-0.29400000000000004,0.3144796,0.08837585,-0.1357149,0.0,1.1869974,4.9986797e-06,0.06,0.04,0.0,0.0
215,-0.29,0.0923527,0.005868732,-0.13724525,0.0,0.7691519,4.9986484e-06,0.08,0.04,0.0,0.0
220,-0.27580000000000005,0.26897717,0.0059590996,-0.1384279,0.0,0.8573068,4.998617e-06,0.08,0.06,0.0,0.0
225,-0.2678,0.16136514,0.033845223,-0.13587885,0.0,0.8457029,4.9985856e-06,0.06,0.04,0.0,0.0
230,-0.2678,0.13320117,0.013362,-0.13847385,0.0,0.7659419,4.9985547e-06,0.06,0.02,0.0,0.0
235,-0.2778,0.20030305,0.033668537,-0.13619761,0.0,0.9248769,4.9985233e-06,0.06,0.04,0.0,0.0
240,-0.2638,0.11105902,0.007972639,-0.13808331,0.0,0.792753,4.998492e-06,0.06,0.06,0.0,0.0
245,-0.25579999999999997,0.1726515,0.03158703,-0.13639282,0.0,0.93241864,4.9984606e-06,0.08,0.06,0.0,0.0
250,-0.28180000000000005,0.23451269,0.0055027874,-0.13717926,0.0,1.0570178,4.998429e-06,0.08,0.06,0.0,0.0
255,-0.2778,-0.018284142,0.086588815,-0.13822654,0.0,0.9429,4.998398e-06,0.06,0.06,0.0,0.0
260,-0.29379999999999995,0.24172044,0.015242554,-0.13776205,0.0,1.20532,4.998367e-06,0.06,0.08,0.0,0.0
265,-0.2898,0.20486328,0.005345186,-0.1378597,0.0,0.7975646,4.9983355e-06,0.04,0.1,0.0,0.0
270,-0.324,0.016846046,0.010504008,-0.13808759,0.0,1.0107434,4.998304e-06,0.02,0.08,0.0,0.0
275,-0.34600000000000003,0.10977068,0.004772993,-0.13809751,0.0,0.81070876,4.9982727e-06,0.02,0.12,0.0,0.0
280,-0.3159999999999999,0.07868658,0.030537944,-0.13769634,0.0,0.80824864,4.9982414e-06,0.02,0.12,0.0,0.0
285,-0.32799999999999996,0.15239832,0.011026405,-0.13717714,0.0,1.1013556,4.9982104e-06,0.04,0.12,0.0,0.0
290,-0.348,0.27317232,0.011301921,-0.13766728,0.0,1.1439962,4.998179e-06,0.06,0.1,0.0,0.0
295,-0.38000000000000006,0.16937613,0.021928407,-0.13683175,0.0,0.82146156,4.9981477e-06,0.04,0.1,0.0,0.0
300,-0.384,0.27309486,0.0094964905,-0.13832356,0.0,0.9769109,4.9981163e-06,0.04,0.1,0.0,0.0
305,-0.3940000000000001,0.16122064,0.0037539687,-0.13826811,0.0,0.93603885,4.998085e-06,0.04,0.1,0.0,0.0
310,-0.37199999999999994,0.23977196,0.042703446,-0.13760518,0.0,0.9294492,4.9980536e-06,0.04,0.08,0.0,0.0
315,-0.358,0.11145037,0.0071664983,-0.13798095,0.0,0.73261696,4.9980226e-06,0.04,0.08,0.0,0.0
320,-0.34180000000000005,0.099939935,0.087391555,-0.13801955,0.0,1.4355273,4.9979913e-06,0.04,0.1,0.0,0.0
325,-0.3398,0.14447096,0.0009317359,-0.13728167,0.0,0.73804295,4.99796e-06,0.04,0.06,0.0,0.0
330,-0.32939999999999997,0.16508025,0.004874084,-0.13759322,0.0,0.8635577,4.9979285e-06,0.04,0.1,0.0,0.0
335,-0.32739999999999997,0.24058773,0.00051614305,-0.13836454,0.0,1.1488686,4.997897e-06,0.04,0.08,0.0,0.0
340,-0.33140000000000003,0.20095715,0.02113355,-0.1383313,0.0,0.9680948,4.997866e-06,0.04,0.1,0.0,0.0
345,-0.31539999999999996,0.24968156,0.015439838,-0.13842633,0.0,0.8903234,4.997835e-06,0.04,0.12,0.0,0.0
350,-0.2973999999999999,0.2433959,0.0033993125,-0.13745348,0.0,0.8272823,4.997804e-06,0.04,0.12,0.0,0.0
355,-0.26339999999999997,0.14564295,1.0058249e-05,-0.13616869,0.0,0.7485255,4.9977725e-06,0.04,0.12,0.0,0.0
360,-0.2833999999999999,0.15684867,0.04375344,-0.13694863,0.0,1.3846378,4.997741e-06,0.04,0.14,0.0,0.0
365,-0.3133999999999999,0.159645,0.0070494562,-0.13692199,0.0,0.8918541,4.9977098e-06,0.04,0.14,0.0,0.0
370,-0.3136,0.14347638,0.020967128,-0.13710444,0.0,0.7809965,4.9976784e-06,0.04,0.12,0.0,0.0
375,-0.3116,0.070908,0.001284563,-0.13752721,0.0,0.8846758,4.9976475e-06,0.06,0.14,0.0,0.0
380,-0.35,0.2637606,0.0010156156,-0.1365966,0.0,0.97892106,4.997616e-06,0.06,0.1,0.0,0.0
385,-0.32000000000000006,0.050436035,0.007859188,-0.13420291,0.0,0.6882345,4.9975847e-06,0.04,0.1,0.0,0.0
390,-0.32,0.15967323,0.012251664,-0.13841002,0.0,0.9870324,4.9975533e-06,0.02,0.08,0.0,0.0
395,-0.316,0.14117917,0.010361079,-0.13753217,0.0,0.9278009,4.997522e-06,0.02,0.06,0.0,0.0
400,-0.34,0.22890133,0.0057338,-0.13825622,0.0,0.878829,4.997491e-06,0.04,0.06,0.0,0.0
405,-0.354,0.017040536,0.002867212,-0.13810663,0.0,0.7776298,4.9974597e-06,0.04,0.08,0.0,0.0
410,-0.354,0.13578251,0.000380459,-0.13790278,0.0,0.75328887,4.9974283e-06,0.04,0.06,0.0,0.0
415,-0.358,0.19768852,0.0006667538,-0.13793819,0.0,0.9886688,4.997397e-06,0.04,0.04,0.0,0.0
420,-0.38,0.053528346,0.029003594,-0.13743544,0.0,0.7608961,4.9973655e-06,0.04,0.06,0.0,0.0
425,-0.38000000000000006,0.12398885,0.002623693,-0.1364728,0.0,0.7202752,4.997334e-06,0.04,0.04,0.0,0.0
430,-0.36000000000000015,0.19231698,0.0009820713,-0.13718505,0.0,0.92990196,4.997303e-06,0.06,0.06,0.0,0.0
435,-0.3838,0.2184918,0.015413247,-0.13540106,0.0,1.0286361,4.997272e-06,0.06,0.08,0.0,0.0
440,-0.35180000000000006,0.22980149,0.009161515,-0.13797837,0.0,0.8396431,4.997241e-06,0.1,0.1,0.0,0.0
445,-0.2914,-0.5986811,0.33018035,-0.13809602,0.0,-1.436703,4.9972095e-06,0.12,0.14,0.0,0.0
450,-0.2633999999999999,0.1637515,0.0026883266,-0.13638301,0.0,0.74251974,4.997178e-06,0.12,0.14,0.0,0.0
455,-0.25339999999999985,0.26192063,0.019506156,-0.13804792,0.0,1.0533675,4.997147e-06,0.12,0.12,0.0,0.0
460,-0.23539999999999994,0.13776967,0.001664191,-0.13816857,0.0,0.77638185,4.9971154e-06,0.12,0.12,0.0,0.0
465,-0.24339999999999995,0.2368575,0.0016676001,-0.13713345,0.0,1.0783491,4.9970845e-06,0.12,0.14,0.0,0.0
470,-0.22939999999999994,0.1142164,0.027314883,-0.137459,0.0,0.95940965,4.997053e-06,0.12,0.12,0.0,0.0
475,-0.21719999999999992,0.21993044,0.0034889216,-0.13722809,0.0,0.9999446,4.9970217e-06,0.1,0.16,0.0,0.0
480,-0.21719999999999995,0.14849651,0.00077857036,-0.13840403,0.0,0.8401656,4.9969904e-06,0.08,0.14,0.0,0.0
485,-0.2034,0.14018531,0.037969206,-0.13300605,0.0,0.8585486,4.996959e-06,0.1,0.12,0.0,0.0
490,-0.2314,0.23823065,0.015393916,-0.13754392,0.0,1.255783,4.996928e-06,0.06,0.12,0.0,0.0
495,-0.29780000000000006,0.19203377,0.0051377686,-0.13806818,0.0,0.86633253,4.9968967e-06,0.04,0.08,0.0,0.0
500,-0.2958,0.08914292,0.00084353203,-0.13743103,0.0,0.8217273,4.9968653e-06,0.06,0.08,0.0,0.0
505,-0.2978,0.1372291,0.020551305,-0.13731728,0.0,1.1553729,4.996834e-06,0.06,0.12,0.0,0.0
510,-0.3118,0.24300976,0.011410082,-0.13842201,0.0,1.0697488,4.9968025e-06,0.06,0.12,0.0,0.0
515,-0.30380000000000007,0.17369649,0.010143302,-0.13560958,0.0,1.0706584,4.996771e-06,0.06,0.12,0.0,0.0
