generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-1.15,0.66076416,0,0,10.361632,12.992491,0.00049999985,0.75,0.25,20.723265,0.017668419
5,-0.9812499999999996,0.7135123,0,0,10.361631,13.003626,0.00049999903,0.7083333333333334,0.25,20.723263,0.9815479
10,-0.9663636363636356,0.5714887,0,0,10.361627,12.794493,0.00049999816,0.6818181818181818,0.25,20.723253,0.99530053
15,-0.9477999999999992,0.5458127,0,0,10.361448,12.65851,0.00049999735,0.72,0.26,20.722897,0.9973818
20,-0.9047999999999994,0.46485132,0,0,10.361278,12.144677,0.00049999653,0.72,0.32,20.722555,0.9992058
25,-0.9039999999999992,0.24190767,0,0,10.344841,11.179574,0.00049999566,0.64,0.36,20.689682,0.9998379
30,-0.8237999999999994,0.84131616,0,0,10.302103,12.815425,0.00049999484,0.54,0.42,20.604206,0.9999754
35,-0.8248999999999994,0.013130859,0,0,7.362806,8.3845825,0.000499994,0.66,0.48,14.725612,0.9993144
40,-0.7852999999999996,0.6657845,0,0,5.6829476,6.5967293,0.00049999316,0.66,0.48,11.365895,0.9959016
45,-0.9074999999999993,0.9887858,0,0,2.599574,5.156057,0.00049999234,0.66,0.38,5.199148,0.9928206
50,-0.8640999999999994,0.39719677,0,0,2.9477096,4.979585,0.0004999915,0.74,0.38,5.895419,0.9956288
55,-0.9447999999999992,0.1472689,0,0,3.7678978,5.0922647,0.00049999065,0.74,0.4,7.5357957,0.903661
60,-1.028399999999999,0.1440405,0,0,3.8737328,4.668092,0.00049998984,0.72,0.38,7.7474656,0.9416292
65,-1.0684999999999993,0.7190507,0,0,1.8543639,4.4718876,0.000499989,0.72,0.38,3.7087278,0.94395
70,-1.026699999999999,0.2638621,0,0,1.4380723,6.2797933,0.00049998815,0.66,0.34,2.8761446,0.89161974
75,-1.0258999999999991,0.3609681,0,0,3.3836331,4.8108673,0.00049998733,0.64,0.38,6.7672663,0.8132193
80,-0.9434999999999992,0.3098562,0,0,3.2540636,4.7096863,0.0004999865,0.7,0.36,6.508127,0.8295727
85,-0.9423999999999992,0.23441957,0,0,1.990939,3.3320305,0.00049998565,0.64,0.3,3.981878,0.8120824
90,-0.9824999999999993,0.45673567,0,0,1.2363648,3.0570495,0.00049998483,0.52,0.24,2.4727297,0.81131804
95,-1.066999999999999,0.69873786,0,0,1.7524129,3.3484306,0.000499984,0.48,0.2,3.5048258,0.83639604
100,-1.0256999999999992,0.4489523,0,0,2.6307395,4.2846775,0.00049998314,0.38,0.18,5.261479,0.94703144
105,-0.9035999999999992,0.47679347,0,0,1.1000007,2.7668066,0.0004999823,0.46,0.2,2.2000015,0.7061777
110,-0.9452999999999993,0.4989292,0,0,1.4844906,3.0668101,0.0004999815,0.56,0.14,2.9689813,0.6755505
115,-0.9470999999999993,0.51974326,0,0,2.5353582,3.8981912,0.00049998064,0.58,0.14,5.0707164,0.9170848
120,-0.9878999999999993,0.5370286,0,0,1.6934657,3.6058586,0.0004999798,0.64,0.2,3.3869314,0.93542147
125,-0.9873999999999991,0.9442678,0,0,1.1639941,3.5532358,0.000499979,0.7,0.26,2.3279881,0.7538738
130,-0.8650999999999993,0.39806634,0,0,1.5948293,2.5930538,0.00049997814,0.68,0.32,3.1896586,0.8203862
135,-0.7831999999999993,0.28505936,0,0,1.9935023,3.5633645,0.0004999773,0.6,0.22,3.9870045,0.67981565
140,-0.9059999999999994,0.2369809,0,0,2.1494555,3.906403,0.0004999765,0.46,0.14,4.298911,0.83577144
145,-0.8234999999999993,0.5377654,0,0,1.9223939,3.5744994,0.00049997563,0.46,0.06,3.8447878,0.8873261
150,-0.9037999999999993,0.31942272,0,0,1.1929245,3.9494958,0.0004999748,0.5,0.1,2.385849,0.71295685
155,-0.9041999999999993,0.85364985,0,0,1.0618901,4.039569,0.000499974,0.52,0.1,2.1237803,0.7337925
160,-0.9063999999999993,0.15438291,0,0,3.1210663,4.2738953,0.00049997313,0.4,0.1,6.2421327,0.8729123
165,-0.8652999999999994,0.5007708,0,0,2.3086846,3.860242,0.0004999723,0.36,0.14,4.617369,0.841499
170,-0.9465999999999992,0.25473025,0,0,2.1087322,4.5186534,0.0004999715,0.52,0.24,4.2174644,0.7195193
175,-0.9058999999999994,0.2086929,0,0,1.8280609,3.5664284,0.0004999706,0.6,0.28,3.6561217,0.6642496
180,-1.0274999999999992,0.13745087,0,0,2.856426,4.493883,0.0004999698,0.64,0.22,5.712852,0.9092091
185,-1.0681999999999992,0.49368685,0,0,1.6207469,3.0883117,0.00049996894,0.56,0.18,3.2414937,0.6945476
190,-1.026299999999999,0.3072949,0,0,1.0005376,3.0304604,0.0004999681,0.54,0.14,2.0010753,0.73221964
195,-0.9859999999999991,0.763587,0,0,1.4234276,4.012615,0.0004999673,0.5,0.1,2.8468552,0.84067255
