generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-1.1099999999999999,0.27843595,0.0339281,-0.13849095,0.0,1.4103687,2.4999968e-05,0.0,0.0,0.0,0.0
5,-0.5766666666666667,0.16129912,0.0045995177,-0.13797481,0.0,0.81082654,2.4999812e-05,0.0,0.0,0.0,0.0
10,-0.3918181818181818,0.14303868,0.0016554771,-0.13727222,0.0,0.74313265,2.4999656e-05,0.0,0.09090909090909091,0.0,0.0
15,-0.39749999999999996,0.15045357,0.00021865788,-0.1378765,0.0,0.7439009,2.49995e-05,0.0,0.125,0.0,0.0
20,-0.329047619047619,0.1464473,0.011446203,-0.13852298,0.0,0.90883696,2.4999343e-05,0.0,0.09523809523809523,0.0,0.0
25,-0.3138461538461538,0.1443452,0.0011885172,-0.1374909,0.0,0.7642627,2.4999186e-05,0.0,0.11538461538461539,0.0,0.0
30,-0.30032258064516126,0.18644485,0.0047260704,-0.13842796,0.0,0.92308927,2.499903e-05,0.0,0.0967741935483871,0.0,0.0
35,-0.25416666666666665,0.17051071,0.0077452436,-0.13820265,0.0,0.77541816,2.4998873e-05,0.0,0.1111111111111111,0.0,0.0
40,-0.273170731707317,0.19043961,0.012259862,-0.13854115,0.0,1.0525072,2.4998717e-05,0.0,0.0975609756097561,0.0,0.0
45,-0.2858695652173912,0.14756483,0.0022000608,-0.13854502,0.0,0.8321737,2.499856e-05,0.0,0.08695652173913043,0.0,0.0
50,-0.2638,0.1890908,0.0030450984,-0.13844012,0.0,0.84323823,2.4998404e-05,0.0,0.1,0.0,0.0
55,-0.2358,0.16148973,0.0009400925,-0.13776496,0.0,0.8341662,2.4998248e-05,0.0,0.1,0.0,0.0
60,-0.2558,0.17858715,0.0026825615,-0.13527027,0.0,0.85424095,2.4998091e-05,0.0,0.1,0.0,0.0
65,-0.21779999999999994,0.110341325,0.0027308043,-0.13692924,0.0,0.69281816,2.4997935e-05,0.0,0.1,0.0,0.0
70,-0.22579999999999995,0.23758993,0.004954257,-0.13796766,0.0,1.0928811,2.4997778e-05,0.02,0.1,0.0,0.0
75,-0.2238,0.16964327,0.0006308547,-0.13788567,0.0,0.74696845,2.4997622e-05,0.02,0.1,0.0,0.0
80,-0.25179999999999997,0.19774632,0.0013089031,-0.13811691,0.0,1.0295105,2.4997466e-05,0.02,0.12,0.0,0.0
85,-0.324,0.2581467,0.016892646,-0.13856195,0.0,1.2853056,2.4997309e-05,0.02,0.12,0.0,0.0
90,-0.30600000000000005,0.20917916,0.0024496692,-0.13761103,0.0,1.1329285,2.4997153e-05,0.02,0.12,0.0,0.0
95,-0.322,0.21527937,0.002341739,-0.13796397,0.0,0.96896267,2.4996994e-05,0.02,0.12,0.0,0.0
100,-0.31199999999999994,0.115284026,0.000108416265,-0.13632692,0.0,0.7502761,2.4996838e-05,0.04,0.14,0.0,0.0
105,-0.326,0.15139748,0.004348601,-0.1365695,0.0,0.75748336,2.4996682e-05,0.04,0.14,0.0,0.0
110,-0.292,0.14566836,3.408566e-06,-0.13847888,0.0,0.75161034,2.4996525e-05,0.04,0.18,0.0,0.0
115,-0.30599999999999994,0.113769405,0.00022048228,-0.13796651,0.0,0.7294898,2.4996369e-05,0.04,0.18,0.0,0.0
120,-0.324,0.16902052,0.0005664338,-0.13841711,0.0,0.7581154,2.4996212e-05,0.04,0.18,0.0,0.0
125,-0.31199999999999994,0.14917956,0.00018999512,-0.13813286,0.0,0.76177484,2.4996056e-05,0.12,0.18,0.0,0.0
130,-0.27399999999999997,0.1313633,0.0043273172,-0.1361606,0.0,0.8039029,2.49959e-05,0.14,0.2,0.0,0.0
135,-0.22799999999999998,0.17478496,0.0011402856,-0.13014026,0.0,0.7689769,2.4995743e-05,0.14,0.18,0.0,0.0
140,-0.15139999999999995,-0.83728915,0.3466966,-0.13465993,0.0,-1.4245446,2.4995587e-05,0.2,0.22,0.0,0.0
145,-0.10539999999999994,0.14108005,0.0008854768,-0.13205022,0.0,0.69567573,2.499543e-05,0.24,0.24,0.0,0.0
150,-0.054999999999999966,0.13985844,0.0015212259,-0.11814655,0.0,0.6617621,2.4995274e-05,0.24,0.24,0.0,0.0
155,0.03160000000000008,-0.9403161,0.3203486,-0.1362404,0.0,-1.1375036,2.4995117e-05,0.28,0.3,0.0,0.0
160,0.04980000000000009,-0.5628548,0.369971,-0.13401788,0.0,-1.1249275,2.499496e-05,0.28,0.28,0.0,0.0
165,0.12440000000000007,-0.92009455,0.24556404,-0.082607105,0.0,-2.3628314,2.4994804e-05,0.28,0.36,0.0,0.0
170,0.1928,0.17696428,0.010986355,-0.12387047,0.0,0.7681593,2.4994648e-05,0.28,0.42,0.0,0.0
175,0.20080000000000006,0.07615866,0.0036022547,-0.06657201,0.0,0.44769174,2.4994491e-05,0.22,0.48,0.0,0.0
180,0.2896,0.07960782,0.013630435,-0.06574008,0.0,0.5518928,2.4994335e-05,0.2,0.52,0.0,0.0
185,0.35200000000000004,0.06890573,0.04520102,-0.070946015,0.0,0.67442316,2.4994179e-05,0.2,0.62,0.0,0.0
190,0.33579999999999993,0.06407662,0.010729212,-0.055412944,0.0,0.4355637,2.4994022e-05,0.14,0.62,0.0,0.0
