generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,-0.11,0.086362734,0.005590679,-0.13767426,0.0,0.7650063,2.4999968e-05,0.0,0.0,0.0,0.0
5,-0.27666666666666667,0.17614922,0.06619867,-0.13606635,0.0,1.1948214,2.4999812e-05,0.0,0.0,0.0,0.0
10,-0.40090909090909094,0.33989626,0.021443345,-0.13804017,0.0,1.2996727,2.4999656e-05,0.0,0.0,0.0,0.0
15,-0.385,0.01178734,0.019825658,-0.13721688,0.0,1.2016732,2.49995e-05,0.0,0.0625,0.0,0.0
20,-0.40523809523809523,0.19576195,0.00757096,-0.13797846,0.0,0.93227965,2.4999343e-05,0.047619047619047616,0.047619047619047616,0.0,0.0
25,-0.43307692307692314,0.19711936,0.13323681,-0.13777514,0.0,1.4577153,2.4999186e-05,0.038461538461538464,0.038461538461538464,0.0,0.0
30,-0.4390322580645162,0.21706195,0.0013348069,-0.13781814,0.0,1.0458385,2.499903e-05,0.06451612903225806,0.03225806451612903,0.0,0.0
35,-0.43500000000000005,0.19267663,0.038757075,-0.13729079,0.0,1.2082283,2.4998873e-05,0.05555555555555555,0.027777777777777776,0.0,0.0
40,-0.41000000000000003,0.18248858,0.0072658183,-0.13806415,0.0,0.808571,2.4998717e-05,0.04878048780487805,0.024390243902439025,0.0,0.0
45,-0.4165217391304349,0.33640832,0.02232139,-0.1374783,0.0,1.2051903,2.499856e-05,0.043478260869565216,0.021739130434782608,0.0,0.0
50,-0.396,0.2075281,0.004299602,-0.13855699,0.0,1.0691166,2.4998404e-05,0.06,0.06,0.0,0.0
55,-0.402,0.11459719,0.0019705968,-0.13760127,0.0,0.83834714,2.4998248e-05,0.08,0.08,0.0,0.0
60,-0.382,0.14352924,0.008565295,-0.13723196,0.0,0.9869611,2.4998091e-05,0.1,0.1,0.0,0.0
65,-0.3518,0.25472283,0.00262181,-0.13713634,0.0,0.94440925,2.4997935e-05,0.12,0.08,0.0,0.0
70,-0.33379999999999993,0.1598678,0.04329912,-0.13829565,0.0,1.0597483,2.4997778e-05,0.1,0.08,0.0,0.0
75,-0.30180000000000007,0.14520513,0.0070295837,-0.1358119,0.0,0.76617694,2.4997622e-05,0.1,0.08,0.0,0.0
80,-0.26580000000000004,0.15427275,0.020998437,-0.137605,0.0,0.90862036,2.4997466e-05,0.08,0.1,0.0,0.0
85,-0.2398,0.16423278,0.0061477926,-0.13844661,0.0,0.8557552,2.4997309e-05,0.08,0.1,0.0,0.0
90,-0.2318,0.16867521,0.010327658,-0.1356604,0.0,0.95873857,2.4997153e-05,0.08,0.12,0.0,0.0
95,-0.2218,0.23750281,0.03461173,-0.13485174,0.0,0.90981066,2.4996994e-05,0.08,0.14,0.0,0.0
100,-0.22780000000000006,0.096584305,0.0012926469,-0.13812561,0.0,0.780145,2.4996838e-05,0.06,0.1,0.0,0.0
105,-0.21180000000000004,0.19997075,0.0045344876,-0.13587427,0.0,0.79075956,2.4996682e-05,0.04,0.08,0.0,0.0
110,-0.19779999999999995,0.16436057,0.005549324,-0.1374927,0.0,0.8088116,2.4996525e-05,0.02,0.08,0.0,0.0
