generation,reward,actor_loss,critic_loss,entropy_loss,diversity,loss,learning_rate,left,right,kl_diversity,cosine_actions
0,0.885,-0.49865675,0.11398246,-0.013751207,0,0,9.9999e-06,0.0,1.0,0,0
5,-0.8108333333333332,0.6665394,0.3031308,-0.013810023,0,0,9.999399e-06,0.0,0.16666666666666666,0,0
10,-0.7827272727272728,0.57201606,0.23893362,-0.013821562,0,0,9.998898e-06,0.09090909090909091,0.09090909090909091,0,0
15,-0.8975000000000002,0.596547,0.2641536,-0.013781979,0,0,9.998397e-06,0.0625,0.0625,0,0
20,-0.9576190476190476,0.6032188,0.22919747,-0.013806288,0,0,9.997897e-06,0.047619047619047616,0.047619047619047616,0,0
25,-0.9946153846153843,0.6011128,0.18750137,-0.013740932,0,0,9.997397e-06,0.038461538461538464,0.038461538461538464,0,0
30,-0.9540322580645156,0.5918793,0.18138672,-0.013751066,0,0,9.996897e-06,0.06451612903225806,0.06451612903225806,0,0
35,-0.9812499999999995,0.631157,0.17172419,-0.01375195,0,0,9.996395e-06,0.05555555555555555,0.05555555555555555,0,0
40,-1.0018292682926824,0.614725,0.19786933,-0.01382569,0,0,9.995895e-06,0.07317073170731707,0.07317073170731707,0,0
45,-1.0179347826086949,0.6760222,0.21320786,-0.013825698,0,0,9.995395e-06,0.10869565217391304,0.10869565217391304,0,0
50,-1.0691999999999993,0.5834337,0.13968286,-0.013682643,0,0,9.994894e-06,0.1,0.08,0,0
55,-1.0691999999999993,0.56526846,0.13608485,-0.0137994895,0,0,9.994394e-06,0.14,0.12,0,0
60,-1.109299999999999,0.68760604,0.19403194,-0.013750197,0,0,9.993893e-06,0.12,0.12,0,0
65,-1.109299999999999,0.5774203,0.110918395,-0.013763834,0,0,9.993393e-06,0.12,0.12,0,0
70,-1.109299999999999,0.59397,0.12601085,-0.013781224,0,0,9.992892e-06,0.12,0.12,0,0
75,-1.109299999999999,0.62743396,0.13549155,-0.0137781715,0,0,9.992393e-06,0.12,0.12,0,0
80,-1.149999999999999,0.5369437,0.067921646,-0.013772105,0,0,9.991892e-06,0.12,0.12,0,0
85,-1.149999999999999,0.59329116,0.11530372,-0.013729858,0,0,9.991391e-06,0.12,0.12,0,0
